       PID          Process Name
      1718          dbus-daemon
      1723          gnome-keyring-daemon
      1730          gvfsd
      1743          gvfsd-fuse
      1748          gvfs-udisks2-volume-monitor
      1755          gvfs-goa-volume-monitor
      1760          goa-daemon
      1767          goa-daemon
      1771          goa-identity-service
      1777          gvfs-afc-volume-monitor
      1782          gvfs-mtp-volume-monitor
      1787          gvfs-gphoto2-volume-monitor
      1795          gdm-x-session
      1799          Xorg
      1820          gnome-session-binary
      1887          ssh-agent
      1908          at-spi-bus-launcher
      1913          dbus-daemon
      1923          gnome-session-ctl
      1930          gnome-session-binary
      1944          gnome-shell
      1972          ibus-daemon
      1976          ibus-dconf
      1977          ibus-extension-gtk3
      1979          ibus-x11
      1981          ibus-portal
      1993          at-spi2-registryd
      1999          xdg-permission-store
      2001          gnome-shell-calendar-server
      2010          evolution-source-registry
      2019          evolution-calendar-factory
      2029          dconf-service
      2035          evolution-addressbook-factory
      2052          gjs
      2064          gvfsd-trash
      2077          gsd-a11y-settings
      2078          gsd-color
      2079          gsd-datetime
      2082          gsd-housekeeping
      2084          gsd-keyboard
      2087          gsd-media-keys
      2089          gsd-power
      2090          gsd-print-notifications
      2095          gsd-rfkill
      2097          gsd-screensaver-proxy
      2098          gsd-sharing
      2100          gsd-smartcard
      2103          gsd-sound
      2105          gsd-usb-protection
      2116          evolution-alarm-notify
      2128          gsd-wacom
      2131          gsd-wwan
      2135          gsd-xsettings
      2137          anydesk
      2142          gsd-disk-utility-notify
      2147          ibus-engine-simple
      2166          teams
      2200          snap-store
      2216          gsd-printer
      2243          xdg-document-portal
      2269          teams
      2271          teams
      2361          teams
      2376          teams
      2436          teams
      2461          teams
      2462          teams
      2466          teams
      2505          xdg-desktop-portal
      2509          xdg-desktop-portal-gtk
      2520          fwupd
      2534          teams
      2535          teams
      2602          teams
      3700          gvfsd-metadata
      3705          update-notifier
      4274          update-notifier
      5293          update-notifier
      5453          update-notifier
      5543          update-notifier
      5737          update-notifier
      5945          sh
      5961          java
      6020          fsnotifier
      6031          clangd
      6775          bash
      7076          chrome
      7082          cat
      7083          cat
      7085          chrome_crashpad_handler
      7087          chrome_crashpad_handler
      7093          chrome
      7094          chrome
      7096          nacl_helper
      7101          chrome
      7123          chrome
      7124          chrome
      7127          chrome
      7216          chrome
      7256          chrome
      7269          chrome
      7282          chrome
      7286          chrome
      7449          chrome
      7472          chrome
      7494          chrome
      8070          chrome
      8073          chrome
      8076          sudo
      8078          su
      8079          bash
      8126          gnome-terminal-server
      8134          -bash
      8390          chrome
      8436          chrome
      9264          chrome
      9381          chrome
      9417          chrome
      9443          chrome
      9459          chrome
      9472          chrome
      9560          chrome
      9562          cupsd
      9564          cups-browsed
      9573          cups-browsed
      9898          chrome
      9904          chrome
      9924          chrome
     10174          chrome
     11048          chrome
     11127          chrome
     11182          -bash
     11409          -bash
     11499          chrome
     11518          chrome
     11761          chrome
     11989          chrome
     12045          gvfsd-network
     12066          gvfsd-dnssd
     12088          gvfsd-dnssd
     12089          gvfsd-dnssd
     12221          gvfsd-dnssd
     12248          chrome
     12384          chrome
     12440          chrome
     12466          chrome
     12590          chrome
     12613          chrome
     12632          chrome
     12645          chrome
     12834          chrome
     13044          chrome
     13095          chrome
     13126          chrome
     13204          chrome
     13228          chrome
     13335          teams
     13348          rect-overlay
     13447          gedit
     13499          gedit
     13515          gedit
     13564          gedit
     13583          gedit
     13652          gedit
     13718          sudo
     13721          su
     13722          bash
     13746          my_current_processes
